Movie Name,Release Period,Genre,New Music Director,Number of Screens,Revenue(INR),Budget(INR),Timing(min),Rating(10),Votes,Language,Profit(INR),ROI
housefull 2,holiday,comedy,no,2650,720000000,1884050000,145.0,5.3,13363.0,hindi,-1164050000,0.3821554629654202
kuchh meetha ho jaye,holiday,romance,no,90,40000000,16662500,125.0,3.4,276.0,hindi,23337500,2.40060015003751
darling,normal,drama,no,240,65000000,47482500,16.0,7.6,37.0,oriya,17517500,1.3689253935660506
hope & a little sugar,holiday,drama,yes,60,22500000,1875000,82.0,6.9,46.0,punjabi,20625000,12.0
bolo raam,holiday,thriller,no,125,40000000,3050000,103.0,5.1,84.0,hindi,36950000,13.114754098360656
khamoshh... khauff ki raat,holiday,thriller,no,110,45000000,10400000,123.0,3.3,240.0,hindi,34600000,4.326923076923077
ek se bure do,holiday,comedy,no,100,60000000,10300000,180.0,4.3,61.0,hindi,49700000,5.825242718446602
firaaq,normal,drama,no,200,65000000,15700000,101.0,7.4,2043.0,oriya,49300000,4.140127388535032
anthony kaun hai?,normal,comedy,no,300,130000000,97960000,127.0,5.2,613.0,hindi,32040000,1.3270722743977132
pankh,holiday,drama,no,125,55000000,2025000,98.0,3.7,123.0,hindi,52975000,27.160493827160497
kajraare,holiday,romance,no,2,120000000,70000,112.0,2.8,402.0,urdu,119930000,1714.2857142857142
ready,normal,comedy,no,2300,610000000,1833987500,165.0,7.2,1181.0,telugu,-1223987500,0.3326085919342416
gangoobai,holiday,drama,yes,10,12500000,145000,110.0,7.4,297.0,hindi,12355000,86.20689655172414
karthik calling karthik,holiday,thriller,no,850,200000000,282200000,135.0,7.1,10792.0,oriya,-82200000,0.7087172218284904
second hand husband,normal,comedy,yes,525,110000000,51050000,105.0,3.8,156.0,hindi,58950000,2.1547502448579823
kaanchi,normal,drama,no,1250,240000000,53000000,151.0,4.2,584.0,hindi,187000000,4.528301886792453
salaam-e-ishq,holiday,romance,no,900,430000000,522400000,216.0,5.1,5178.0,hindi,-92400000,0.8231240428790199
chance pe dance,normal,romance,no,800,290000000,163027500,122.0,4.7,2774.0,hindi,126972500,1.7788409930839888
hansa,holiday,drama,yes,15,10000000,270000,88.0,7.7,36.0,hindi,9730000,37.03703703703704
baby,holiday,thriller,no,2450,750000000,1248440000,159.0,8.0,53247.0,hindi,-498440000,0.6007497356701164
go goa gone,normal,comedy,no,1100,190000000,384250000,111.0,6.6,11621.0,hindi,-194250000,0.494469746258946
sanam re,holiday,romance,no,2000,270000000,314550000,120.0,3.1,2873.0,hindi,-44550000,0.8583690987124464
